date,GOOG,AAPL,AMZN,FB,NFLX,MSFT
2018-01-01,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-08,1.0181722783479359,1.0119428342857142,1.0618806117055755,0.9599678310954937,1.0535263142643385,1.015988161560536
2018-01-15,1.032007866452698,1.0197714685714288,1.0532404284307675,0.9702434422185674,1.0498595254569378,1.0205238457756243
2018-01-22,1.066782783389724,0.9800571142857143,1.1406756202628388,1.0168584099483517,1.3076813155940448,1.0665607876956391
2018-01-29,1.0087731636550115,0.9171428571428571,1.1633743377885228,1.0183569327795472,1.2735367714287167,1.040707528275144
2018-02-05,0.9415276737437317,0.8937714514285715,1.0898676795580526,0.9425207136466456,1.188008929282134,0.9998865857832728
2018-02-12,0.9932591826253899,0.9853142457142857,1.1786207619316666,0.9492105716068321,1.3263487897912096,1.043202153459527
2018-02-19,1.0222821547641083,1.002857142857143,1.2203654438831366,0.9809472149548658,1.3616362026373592,1.0665607876956391
2018-02-26,0.9788520214265991,1.0069143257142859,1.2205688381237838,0.9452501435830833,1.4336396058469547,1.0551082990110374
2018-03-05,1.0524482730908842,1.02845712,1.284548542665418,0.9913298905647345,1.5783608462698024,1.0946819232411402
2018-03-12,1.0303929312465263,1.0172571657142857,1.2786826844946546,0.9905806264731936,1.5165008067883996,1.072683930770293
2018-03-19,0.9268211040675921,0.9425142971428571,1.2167532101702832,0.8530371628674177,1.4331158380609592,0.9885474319413214
2018-03-26,0.9360932452590338,0.9587428514285714,1.1775224533715958,0.8551778853033591,1.406495542490225,1.034924537137441
2018-04-02,0.9136387108614119,0.9621714571428572,1.1432627388670606,0.8413165210173983,1.375541688281783,1.0231318851767346
2018-04-09,0.9338069537901699,0.99845712,1.16405781403187,0.8804923666954552,1.484118227436587,1.0554484622871423
2018-04-16,0.9734447261178651,0.9469714342857143,1.242730666448932,0.8899116599439659,1.5608837620628662,1.0772196149853812
2018-04-23,0.9345146364100891,0.9275428971428572,1.2794473988384474,0.9290339332394776,1.484642138086525,1.0865177211357813
2018-04-30,0.9509902470625957,1.0504571542857144,1.2862244591394254,0.9451966568307202,1.5243106261176576,1.0790339249567087
2018-05-07,0.9963982380519172,1.07765712,1.3040906767647622,1.0007492587396545,1.5546453794312736,1.1078352963411884
2018-05-14,0.9674568868105002,1.06462856,1.2808711585229775,0.9776825642702949,1.5437877293254985,1.0926408755495889
2018-05-21,0.9758943718805397,1.0776000114285715,1.3099809658381354,0.9896708164943809,1.6728891882258874,1.1153191832334917
2018-05-28,1.015668254641377,1.0870857428571428,1.3355191588974509,1.038212463316699,1.7140339274719294,1.1428733270694336
2018-06-04,1.0169111849053498,1.0954285542857143,1.3700554610940723,1.0120417443283358,1.7170817582484463,1.1523981709400573
2018-06-11,1.0453898287179595,1.0790856914285714,1.3960736368996987,1.048166977313343,1.8666603250949971,1.1353894401771303
2018-06-18,1.0483111519067918,1.0566857028571428,1.3958296232020404,1.0796895826698554,1.9576645850358452,1.1385644826269534
2018-06-25,1.0121753574512644,1.0577714342857143,1.3829181608736414,1.039978596521961,1.8640410670974559,1.1181539716939795
2018-07-02,1.0344211867653972,1.0741142914285715,1.3917291635810913,1.0876638451914205,1.9441401508609901,1.147068848008417
2018-07-09,1.0785588920381208,1.093314297142857,1.4750394640760272,1.109553119307901,1.884851557577705,1.1954869895569342
2018-07-16,1.0750116178113753,1.0939428685714285,1.4755844971819587,1.12357503483302,1.7193674908479575,1.2050118447667117
2018-07-23,1.1236312044424703,1.0913142628571428,1.4784890230752108,0.9359914015737306,1.691556657660921,1.2210000857013248
2018-07-30,1.1102129167272332,1.1885143142857142,1.4833867718479574,0.951458353177682,1.6338396487013753,1.225082192423581
2018-08-06,1.1228237368393845,1.1858857085714285,1.5346502643964448,0.9647310099631465,1.6470783692776239,1.2359677687727004
2018-08-13,1.0895729410299655,1.2433142971428572,1.5313308069300795,0.9301578668399936,1.50854798541483,1.2198661929954373
2018-08-20,1.1074367837463466,1.235200022857143,1.5501814209506475,0.934706922085943,1.7087480282692504,1.2291642991458374
2018-08-27,1.1052048693141154,1.3007428857142855,1.637494456642517,0.940486970067317,1.7509404459512254,1.2737271737447062
